  PID TTY          TIME CMD
    1 ?        00:00:12 supervisord
    7 ?        00:02:23 Xvfb
    9 ?        00:00:11 fluxbox
   13 ?        00:04:47 x11vnc
   14 ?        00:00:06 websockify
   15 ?        00:00:00 node
   16 ?        00:00:00 npm exec @model
   17 ?        00:00:00 node
   58 ?        00:00:00 sh
   59 ?        00:00:00 node
   70 ?        00:00:00 xterm
   77 ?        00:02:14 chromium
   92 ?        00:00:00 chrome_crashpad
   94 ?        00:00:00 chrome_crashpad
   97 ?        00:00:00 chromium
   98 ?        00:00:00 chromium
  117 ?        00:05:28 chromium
  118 ?        00:00:12 chromium
  126 ?        00:00:02 chromium
  218 ?        00:00:00 node
  305 ?        00:00:00 node
  414 ?        00:00:01 chromium
  520 ?        00:00:00 node
  580 ?        00:00:00 node
  640 ?        00:00:00 node
  683 ?        00:00:05 node
  699 ?        00:00:00 node
  743 ?        00:00:05 node
  761 ?        00:00:00 node
  805 ?        00:00:06 node
  823 ?        00:00:00 node
  867 ?        00:00:05 node
  910 ?        00:00:00 node
  975 ?        00:00:00 node
 1035 ?        00:00:00 node
 1097 ?        00:00:00 node
 1157 ?        00:00:00 node
 1217 ?        00:00:00 node
 1277 ?        00:00:00 node
 1337 ?        00:00:00 node
 1397 ?        00:00:00 node
 1457 ?        00:00:00 node
 1517 ?        00:00:00 node
 1577 ?        00:00:00 node
 1637 ?        00:00:00 node
 1697 ?        00:00:00 node
 1759 ?        00:00:00 node
 1760 ?        00:00:00 node
 1879 ?        00:00:00 node
 1885 ?        00:00:00 node
 1999 ?        00:00:00 node
 2000 ?        00:00:00 node
 2119 ?        00:00:00 node
 2163 ?        00:00:06 node
 2181 ?        00:00:03 chromium
 2207 ?        00:00:00 node
 2251 ?        00:00:00 node
 2327 ?        00:00:00 node
 2371 ?        00:00:00 node
 2447 ?        00:00:00 node
 2448 ?        00:00:00 node
 2568 ?        00:00:00 node
 2569 ?        00:00:00 node
 2687 ?        00:00:00 node
 2748 ?        00:00:00 node
 2809 ?        00:00:00 node
 2869 ?        00:00:00 node
 2870 ?        00:00:00 node
 2989 ?        00:00:00 node
 2990 ?        00:00:00 node
 3109 ?        00:00:00 node
 3110 ?        00:00:00 node
 3229 ?        00:00:00 node
 3230 ?        00:00:00 node
 3349 ?        00:00:00 node
 3365 ?        00:00:00 node
 3469 ?        00:00:00 node
 3470 ?        00:00:00 node
 3589 ?        00:00:00 node
 3590 ?        00:00:00 node
 3709 ?        00:00:00 node
 3711 ?        00:00:00 node
 3829 ?        00:00:00 node
 3830 ?        00:00:00 node
 3949 ?        00:00:00 node
 3950 ?        00:00:00 node
 4069 ?        00:00:00 node
 4070 ?        00:00:00 node
 4189 ?        00:00:00 node
 4195 ?        00:00:00 node
 4309 ?        00:00:00 node
 4353 ?        00:00:06 node
 4413 ?        00:00:00 node
 4487 ?        00:00:00 node
 4531 ?        00:00:05 node
 4551 ?        00:18:28 chromium
 4620 ?        00:00:00 node
 4664 ?        00:00:04 node
 4704 ?        00:00:00 node
 4705 ?        00:00:00 node
 4823 ?        00:00:00 node
 4867 ?        00:00:05 node
 4886 ?        00:00:01 chromium
 4908 ?        00:00:00 node
 4978 ?        00:00:00 node
 4979 ?        00:00:00 node
 5098 ?        00:00:00 node
 5142 ?        00:00:05 node
 5163 ?        00:00:01 chromium
 5221 ?        00:00:00 node
 5222 ?        00:00:00 node
 5341 ?        00:00:00 node
 5342 ?        00:00:00 node
 5481 ?        00:00:00 node
 5482 ?        00:00:00 node
 5602 ?        00:00:00 node
 5646 ?        00:00:04 node
 5678 ?        00:00:33 websockify
 5687 ?        00:00:00 node
 5688 ?        00:00:00 node
 5807 ?        00:00:00 node
 5893 ?        00:00:00 node
 5894 ?        00:00:00 node
 6013 ?        00:00:00 node
 6096 ?        00:00:00 node
 6097 ?        00:00:00 node
 6216 ?        00:00:00 node
 6238 ?        00:00:00 node
 6336 ?        00:00:00 node
 6337 ?        00:00:00 node
 6578 ?        00:00:00 node
 6579 ?        00:00:00 node
 6699 ?        00:00:00 node
 6700 ?        00:00:00 node
 6820 ?        00:00:00 node
 6827 ?        00:00:00 node
 6941 ?        00:00:00 node
 6942 ?        00:00:00 node
 7063 ?        00:00:00 node
 7064 ?        00:00:00 node
 7183 ?        00:00:00 node
 7184 ?        00:00:00 node
 7303 ?        00:00:00 node
 7304 ?        00:00:00 node
 7422 ?        00:00:00 node
 7423 ?        00:00:00 node
 7542 ?        00:00:00 node
 7543 ?        00:00:00 node
 7662 ?        00:00:00 node
 7668 ?        00:00:00 node
 7781 ?        00:00:00 node
 7797 ?        00:00:00 node
 7900 ?        00:00:00 node
 7960 ?        00:00:00 node
 7972 ?        00:00:00 node
 8080 ?        00:00:00 node
 8096 ?        00:00:00 node
 8200 ?        00:00:00 node
 8206 ?        00:00:00 node
 8320 ?        00:00:00 node
 8321 ?        00:00:00 node
 8442 ?        00:00:00 node
 8443 ?        00:00:00 node
 8562 ?        00:00:00 node
 8563 ?        00:00:00 node
 8682 ?        00:00:00 node
 8683 ?        00:00:00 node
 8801 ?        00:00:00 node
 8802 ?        00:00:00 node
 8931 ?        00:00:00 node
 8932 ?        00:00:00 node
 9051 ?        00:00:00 node
 9057 ?        00:00:00 node
 9171 ?        00:00:00 node
 9187 ?        00:00:00 node
 9291 ?        00:00:00 node
 9292 ?        00:00:00 node
 9412 ?        00:00:00 node
 9413 ?        00:00:00 node
 9532 ?        00:00:00 node
 9554 ?        00:00:00 node
 9652 ?        00:00:00 node
 9674 ?        00:00:00 node
 9772 ?        00:00:00 node
 9778 ?        00:00:00 node
 9892 ?        00:00:00 node
 9893 ?        00:00:00 node
10011 ?        00:00:00 node
10012 ?        00:00:00 node
10131 ?        00:00:00 node
10137 ?        00:00:00 node
10251 ?        00:00:00 node
10252 ?        00:00:00 node
10372 ?        00:00:00 node
10373 ?        00:00:00 node
10492 ?        00:00:00 node
10493 ?        00:00:00 node
10612 ?        00:00:00 node
10613 ?        00:00:00 node
10732 ?        00:00:00 node
10733 ?        00:00:00 node
10852 ?        00:00:00 node
10853 ?        00:00:00 node
10972 ?        00:00:00 node
10988 ?        00:00:00 node
11092 ?        00:00:00 node
11093 ?        00:00:00 node
11222 ?        00:00:00 node
11223 ?        00:00:00 node
11342 ?        00:00:00 node
11343 ?        00:00:00 node
11463 ?        00:00:00 node
11530 ?        00:00:00 node
11531 ?        00:00:00 node
11650 ?        00:00:00 node
11693 ?        00:00:04 node
11737 ?        00:00:00 node
11738 ?        00:00:00 node
11829 ?        00:00:00 node
11926 ?        00:00:00 node
11986 ?        00:00:00 node
11987 ?        00:00:00 node
12105 ?        00:00:00 node
12149 ?        00:00:04 node
12165 ?        00:00:05 chromium
12238 ?        00:00:00 node
12239 ?        00:00:00 node
12358 ?        00:00:00 node
12402 ?        00:00:04 node
12436 ?        00:03:28 chromium
12445 ?        00:00:00 node
12446 ?        00:00:00 node
12565 ?        00:00:00 node
12571 ?        00:00:00 node
12685 ?        00:00:00 node
12729 ?        00:00:04 node
12787 ?        00:00:00 node
12788 ?        00:00:00 node
12951 ?        00:00:01 node
12975 ?        00:01:03 chromium
13017 ?        00:00:00 node
13033 ?        00:00:00 node
13049 ?        00:00:00 node
13093 ?        00:00:00 node
13115 ?        00:00:59 chromium
13126 ?        00:00:00 chromium
13152 ?        00:00:00 node
13196 ?        00:00:00 node
13222 ?        00:00:00 node
13371 ?        00:00:00 node
13460 ?        00:00:00 node
13748 ?        00:00:00 node
13764 ?        00:00:00 npm exec @model
13780 ?        00:00:00 sh
13781 ?        00:00:00 node
13792 ?        00:00:00 node
13822 ?        00:00:00 ps
